Source,Target,Type,Id,Label,Weight
2,1,Undirected,0,,1
45,56,Undirected,72,,1
0,33,Undirected,2,,1
0,9,Undirected,3,,1
3,1,Undirected,4,,1
5,0,Undirected,5,,1
25,43,Undirected,6,,1
1,25,Undirected,7,,1
25,2,Undirected,8,,1
2,43,Undirected,9,,1
1,43,Undirected,10,,1
25,57,Undirected,11,,1
43,58,Undirected,12,,1
6,5,Undirected,13,,1
21,0,Undirected,14,,1
54,53,Undirected,16,,1
49,0,Undirected,17,,1
10,0,Undirected,18,,1
22,0,Undirected,19,,1
27,11,Undirected,20,,1
43,13,Undirected,21,,1
13,25,Undirected,22,,1
1,31,Undirected,23,,1
21,5,Undirected,24,,1
21,6,Undirected,25,,1
30,5,Undirected,26,,1
6,30,Undirected,27,,1
23,6,Undirected,28,,1
23,5,Undirected,29,,1
23,21,Undirected,30,,1
23,0,Undirected,31,,1
16,31,Undirected,32,,1
7,41,Undirected,33,,1
7,0,Undirected,34,,1
41,42,Undirected,35,,1
8,0,Undirected,36,,1
56,0,Undirected,37,,1
29,0,Undirected,38,,1
29,7,Undirected,39,,1
0,11,Undirected,40,,1
45,0,Undirected,41,,1
45,29,Undirected,42,,1
41,0,Undirected,43,,1
7,56,Undirected,44,,1
29,56,Undirected,45,,1
41,56,Undirected,46,,1
45,41,Undirected,73,,1
7,45,Undirected,74,,1
29,41,Undirected,75,,1
36,0,Undirected,71,,1
37,0,Undirected,52,,1
38,22,Undirected,56,,1
5,38,Undirected,58,,1
19,5,Undirected,60,,1
19,6,Undirected,61,,1
46,0,Undirected,62,,1
39,13,Undirected,63,,1
36,37,Undirected,70,,1
53,13,Undirected,76,,1
13,4,Undirected,77,,1
0,6,Undirected,78,,1
8,41,Undirected,79,,1
8,45,Undirected,80,,1
8,7,Undirected,81,,1
8,29,Undirected,82,,1
8,56,Undirected,83,,1
18,19,Undirected,84,,1
20,18,Undirected,85,,1
34,53,Undirected,86,,1
34,4,Undirected,87,,1
48,0,Undirected,88,,1
7,48,Undirected,89,,1
49,9,Undirected,90,,1
33,9,Undirected,91,,1
10,9,Undirected,92,,1
10,33,Undirected,93,,1
10,49,Undirected,94,,1
17,58,Undirected,95,,1
17,1,Undirected,96,,1
2,17,Undirected,97,,1
17,43,Undirected,98,,1
43,16,Undirected,99,,1
2,31,Undirected,100,,1
1,16,Undirected,101,,1
2,16,Undirected,102,,1
40,20,Undirected,103,,1
40,18,Undirected,104,,1
40,19,Undirected,105,,1
28,0,Undirected,108,,1
26,25,Undirected,107,,1
28,8,Undirected,109,,1
28,7,Undirected,110,,1
28,29,Undirected,111,,1
60,0,Undirected,112,,1
60,61,Undirected,113,,1
61,3,Undirected,114,,1
61,1,Undirected,115,,1
35,1,Undirected,116,,1
35,2,Undirected,117,,1
35,0,Undirected,118,,1
35,4,Undirected,120,,1
14,4,Undirected,121,,1
14,13,Undirected,122,,1
14,1,Undirected,123,,1
1,44,Undirected,129,,1
2,4,Undirected,125,,1
1,4,Undirected,126,,1
2,53,Undirected,127,,1
1,53,Undirected,128,,1
55,2,Undirected,135,,1
55,53,Undirected,136,,1
55,4,Undirected,137,,1
55,13,Undirected,138,,1
12,0,Undirected,139,,1
12,11,Undirected,140,,1
12,13,Undirected,141,,1
52,12,Undirected,142,,1
52,13,Undirected,143,,1
26,1,Undirected,144,,1
32,13,Undirected,145,,1
24,3,Undirected,146,,1
24,1,Undirected,147,,1
24,2,Undirected,148,,1
62,63,Undirected,149,,1
63,24,Undirected,150,,1
62,24,Undirected,151,,1
62,0,Undirected,152,,1
